caller_file,caller_symbol,target_file,target_symbol,confidence,line_start,line_end,target_evidence
scripts/create-release-manifest.mjs,<module>,unresolved:resolve,resolve,low,74,74,
scripts/create-release-manifest.mjs,<module>,scripts/create-release-manifest.mjs,sha256,medium,81,81,scripts/create-release-manifest.mjs:61
scripts/create-release-manifest.mjs,<module>,unresolved:writeFileSync,writeFileSync,low,86,86,
scripts/create-release-manifest.mjs,<module>,unresolved:JSON.stringify,JSON.stringify,low,86,86,
scripts/generate-codebase-export.mjs,<module>,unresolved:resolve,resolve,low,15,15,
scripts/generate-codebase-export.mjs,<module>,unresolved:process.cwd,process.cwd,low,15,15,
scripts/generate-codebase-export.mjs,<module>,scripts/generate-codebase-export.mjs,readOption,medium,16,16,scripts/generate-codebase-export.mjs:38
scripts/generate-codebase-export.mjs,<module>,unresolved:resolve,resolve,low,17,17,
scripts/generate-codebase-export.mjs,<module>,scripts/generate-codebase-export.mjs,isInside,medium,23,23,scripts/generate-codebase-export.mjs:46
scripts/generate-codebase-export.mjs,readOption,unresolved:process.argv.indexOf,process.argv.indexOf,low,39,39,
scripts/generate-codebase-export.mjs,readOption,unresolved:value.startsWith,value.startsWith,low,42,42,
scripts/generate-codebase-export.mjs,isInside,unresolved:candidate.startsWith,candidate.startsWith,low,47,47,
scripts/generate-codebase-export.mjs,relativePath,"unresolved:relative(repositoryRoot, absolutePath).split(sep).join","relative(repositoryRoot, absolutePath).split(sep).join",low,51,51,
scripts/generate-codebase-export.mjs,relativePath,"unresolved:relative(repositoryRoot, absolutePath).split","relative(repositoryRoot, absolutePath).split",low,51,51,
scripts/generate-codebase-export.mjs,relativePath,unresolved:relative,relative,low,51,51,
scripts/generate-codebase-export.mjs,relativePath,unresolved:path.startsWith,path.startsWith,low,52,52,
scripts/generate-codebase-export.mjs,ensureOutputPath,unresolved:resolve,resolve,low,57,57,
scripts/generate-codebase-export.mjs,ensureOutputPath,scripts/generate-codebase-export.mjs,isInside,medium,58,58,scripts/generate-codebase-export.mjs:46
scripts/generate-codebase-export.mjs,ensureSafeRelativePath,unresolved:path.split(sep).join,path.split(sep).join,low,63,63,
scripts/generate-codebase-export.mjs,ensureSafeRelativePath,unresolved:path.split,path.split,low,63,63,
scripts/generate-codebase-export.mjs,ensureSafeRelativePath,unresolved:normalized.startsWith,normalized.startsWith,low,64,64,
scripts/generate-codebase-export.mjs,ensureSafeRelativePath,unresolved:normalized.split('/').includes,normalized.split('/').includes,low,64,64,
scripts/generate-codebase-export.mjs,ensureSafeRelativePath,unresolved:normalized.split,normalized.split,low,64,64,
scripts/generate-codebase-export.mjs,ensureSafeRelativePath,unresolved:/[\u0000-\u001f\u007f]/u.test,/[\u0000-\u001f\u007f]/u.test,low,64,64,
scripts/generate-codebase-export.mjs,ensureSafeRelativePath,unresolved:forbiddenPathPattern.test,forbiddenPathPattern.test,low,65,65,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:statSync,statSync,low,72,72,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:entry.isSymbolicLink,entry.isSymbolicLink,low,74,74,
scripts/generate-codebase-export.mjs,collectFiles,scripts/generate-codebase-export.mjs,relativePath,medium,74,74,scripts/generate-codebase-export.mjs:50
scripts/generate-codebase-export.mjs,collectFiles,unresolved:entry.isDirectory,entry.isDirectory,low,75,75,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:readdirSync(absolutePath).sort,readdirSync(absolutePath).sort,low,76,76,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:readdirSync,readdirSync,low,76,76,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:left.localeCompare,left.localeCompare,low,76,76,
scripts/generate-codebase-export.mjs,collectFiles,scripts/generate-codebase-export.mjs,visit,medium,76,76,scripts/generate-codebase-export.mjs:71
scripts/generate-codebase-export.mjs,collectFiles,unresolved:resolve,resolve,low,76,76,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:entry.isFile,entry.isFile,low,79,79,
scripts/generate-codebase-export.mjs,collectFiles,scripts/generate-codebase-export.mjs,relativePath,medium,79,79,scripts/generate-codebase-export.mjs:50
scripts/generate-codebase-export.mjs,collectFiles,scripts/generate-codebase-export.mjs,ensureSafeRelativePath,medium,80,80,scripts/generate-codebase-export.mjs:62
scripts/generate-codebase-export.mjs,collectFiles,scripts/generate-codebase-export.mjs,relativePath,medium,80,80,scripts/generate-codebase-export.mjs:50
scripts/generate-codebase-export.mjs,collectFiles,unresolved:sourceExtensions.has,sourceExtensions.has,low,81,81,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:extname(path).toLowerCase,extname(path).toLowerCase,low,81,81,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:extname,extname,low,81,81,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:rootFiles.includes,rootFiles.includes,low,81,81,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:files.push,files.push,low,83,83,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:resolve,resolve,low,87,87,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:existsSync,existsSync,low,88,88,
scripts/generate-codebase-export.mjs,collectFiles,scripts/generate-codebase-export.mjs,visit,medium,88,88,scripts/generate-codebase-export.mjs:71
scripts/generate-codebase-export.mjs,collectFiles,unresolved:resolve,resolve,low,91,91,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:existsSync,existsSync,low,92,92,
scripts/generate-codebase-export.mjs,collectFiles,scripts/generate-codebase-export.mjs,visit,medium,92,92,scripts/generate-codebase-export.mjs:71
scripts/generate-codebase-export.mjs,collectFiles,"unresolved:[...new Map(files.map((file) => [file.path, file])).values()].sort","[...new Map(files.map((file) => [file.path, file])).values()].sort",low,94,94,
scripts/generate-codebase-export.mjs,collectFiles,"unresolved:new Map(files.map((file) => [file.path, file])).values","new Map(files.map((file) => [file.path, file])).values",low,94,94,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:files.map,files.map,low,94,94,
scripts/generate-codebase-export.mjs,collectFiles,unresolved:left.path.localeCompare,left.path.localeCompare,low,94,94,
scripts/generate-codebase-export.mjs,readText,unresolved:readFileSync,readFileSync,low,98,98,
scripts/generate-codebase-export.mjs,readText,unresolved:content.includes,content.includes,low,99,99,
scripts/generate-codebase-export.mjs,readText,unresolved:pattern.test,pattern.test,low,102,102,
scripts/generate-codebase-export.mjs,readText,scripts/generate-codebase-export.mjs,redactSensitiveIdentifiers,medium,104,104,scripts/generate-codebase-export.mjs:107
scripts/generate-codebase-export.mjs,readText,unresolved:content.replace,content.replace,low,104,104,
scripts/generate-codebase-export.mjs,redactSensitiveIdentifiers,"unresolved:content
    .replace(/\b\d{7,}@(s\.whatsapp\.net|g\.us)\b/gi, '<jid-redacted@$1>')
    .replace","content
    .replace(/\b\d{7,}@(s\.whatsapp\.net|g\.us)\b/gi, '<jid-redacted@$1>')
    .replace",low,108,110,
scripts/generate-codebase-export.mjs,redactSensitiveIdentifiers,"unresolved:content
    .replace","content
    .replace",low,108,109,
scripts/generate-codebase-export.mjs,csvCell,unresolved:String,String,low,114,114,
scripts/generate-codebase-export.mjs,csvCell,"unresolved:/["",\r\n]/.test","/["",\r\n]/.test",low,115,115,
scripts/generate-codebase-export.mjs,csvCell,unresolved:text.replace,text.replace,low,115,115,
scripts/generate-codebase-export.mjs,writeCsv,"unresolved:[columns, ...rows].map","[columns, ...rows].map",low,119,119,
scripts/generate-codebase-export.mjs,writeCsv,unresolved:row.map(csvCell).join,row.map(csvCell).join,low,119,119,
scripts/generate-codebase-export.mjs,writeCsv,unresolved:row.map,row.map,low,119,119,
scripts/generate-codebase-export.mjs,writeCsv,scripts/generate-codebase-export.mjs,writeText,medium,120,120,scripts/generate-codebase-export.mjs:123
scripts/generate-codebase-export.mjs,writeCsv,unresolved:lines.join,lines.join,low,120,120,
scripts/generate-codebase-export.mjs,writeText,scripts/generate-codebase-export.mjs,ensureOutputPath,medium,124,124,scripts/generate-codebase-export.mjs:56
scripts/generate-codebase-export.mjs,writeText,unresolved:mkdirSync,mkdirSync,low,125,125,
scripts/generate-codebase-export.mjs,writeText,unresolved:dirname,dirname,low,125,125,
scripts/generate-codebase-export.mjs,writeText,unresolved:writeFileSync,writeFileSync,low,126,126,
scripts/generate-codebase-export.mjs,writeText,unresolved:content.endsWith,content.endsWith,low,126,126,
scripts/generate-codebase-export.mjs,writeJson,scripts/generate-codebase-export.mjs,writeText,medium,130,130,scripts/generate-codebase-export.mjs:123
scripts/generate-codebase-export.mjs,writeJson,unresolved:JSON.stringify,JSON.stringify,low,130,130,
scripts/generate-codebase-export.mjs,lineRange,unresolved:sourceFile.getLineAndCharacterOfPosition,sourceFile.getLineAndCharacterOfPosition,low,134,134,
scripts/generate-codebase-export.mjs,lineRange,unresolved:node.getStart,node.getStart,low,134,134,
scripts/generate-codebase-export.mjs,lineRange,unresolved:sourceFile.getLineAndCharacterOfPosition,sourceFile.getLineAndCharacterOfPosition,low,135,135,
scripts/generate-codebase-export.mjs,lineRange,unresolved:node.getEnd,node.getEnd,low,135,135,
scripts/generate-codebase-export.mjs,nodeName,unresolved:ts.isIdentifier,ts.isIdentifier,low,141,141,
scripts/generate-codebase-export.mjs,nodeName,unresolved:ts.isStringLiteral,ts.isStringLiteral,low,141,141,
scripts/generate-codebase-export.mjs,nodeName,unresolved:ts.isNumericLiteral,ts.isNumericLiteral,low,141,141,
scripts/generate-codebase-export.mjs,nodeName,unresolved:node.name.getText,node.name.getText,low,142,142,
scripts/generate-codebase-export.mjs,hasExportModifier,unresolved:Boolean,Boolean,low,150,150,
scripts/generate-codebase-export.mjs,hasExportModifier,unresolved:node.modifiers?.some,node.modifiers?.some,low,150,150,
scripts/generate-codebase-export.mjs,scriptKindFor,unresolved:path.endsWith,path.endsWith,low,154,154,
scripts/generate-codebase-export.mjs,scriptKindFor,unresolved:path.endsWith,path.endsWith,low,155,155,
scripts/generate-codebase-export.mjs,scriptKindFor,unresolved:path.endsWith,path.endsWith,low,156,156,
scripts/generate-codebase-export.mjs,scriptKindFor,unresolved:path.endsWith,path.endsWith,low,157,157,
scripts/generate-codebase-export.mjs,scriptKindFor,unresolved:path.endsWith,path.endsWith,low,157,157,
scripts/generate-codebase-export.mjs,scriptKindFor,unresolved:path.endsWith,path.endsWith,low,157,157,
scripts/generate-codebase-export.mjs,makeSourceFiles,"unresolved:records
    .filter((record) => /\.(?:ts|tsx|js|mjs|cjs)$/.test(record.path))
    .map","records
    .filter((record) => /\.(?:ts|tsx|js|mjs|cjs)$/.test(record.path))
    .map",low,162,167,
scripts/generate-codebase-export.mjs,makeSourceFiles,"unresolved:records
    .filter","records
    .filter",low,162,163,
scripts/generate-codebase-export.mjs,makeSourceFiles,unresolved:/\.(?:ts|tsx|js|mjs|cjs)$/.test,/\.(?:ts|tsx|js|mjs|cjs)$/.test,low,163,163,
scripts/generate-codebase-export.mjs,makeSourceFiles,unresolved:ts.createSourceFile,ts.createSourceFile,low,166,166,
scripts/generate-codebase-export.mjs,makeSourceFiles,scripts/generate-codebase-export.mjs,readText,medium,166,166,scripts/generate-codebase-export.mjs:97
scripts/generate-codebase-export.mjs,makeSourceFiles,scripts/generate-codebase-export.mjs,scriptKindFor,medium,166,166,scripts/generate-codebase-export.mjs:153
scripts/generate-codebase-export.mjs,sourceFilePath,unresolved:resolve,resolve,low,171,171,
